procs,N,execution_time,num_of_unique
40, 513, 0.052030, 67957
40, 514, 0.056205, 68215
40, 515, 0.058055, 68483
40, 516, 0.055900, 68638
40, 517, 0.056086, 68923
40, 518, 0.054658, 69108
40, 519, 0.057550, 69369
40, 520, 0.057724, 69509
40, 521, 0.057857, 70030
40, 522, 0.062236, 70191
40, 523, 0.056457, 70714
40, 524, 0.052867, 70934
40, 525, 0.056701, 71095
40, 526, 0.051953, 71359
40, 527, 0.053219, 71672
40, 528, 0.054423, 71798
40, 529, 0.053450, 72151
40, 530, 0.052986, 72343
40, 531, 0.057028, 72567
40, 532, 0.057126, 72731
40, 533, 0.056205, 73035
40, 534, 0.057178, 73233
40, 535, 0.053068, 73512
40, 536, 0.056253, 73709
40, 537, 0.056078, 73979
40, 538, 0.055840, 74249
40, 539, 0.056391, 74496
40, 540, 0.056494, 74615
40, 541, 0.055746, 75156
40, 542, 0.056490, 75428
40, 543, 0.051935, 75701
40, 544, 0.056207, 75877
40, 545, 0.057503, 76161
40, 546, 0.051969, 76311
40, 547, 0.053044, 76858
40, 548, 0.056568, 77088
40, 549, 0.052846, 77318
40, 550, 0.056469, 77490
40, 551, 0.053077, 77826
40, 552, 0.056021, 77970
40, 553, 0.076741, 78265
40, 554, 0.061243, 78543
40, 555, 0.062467, 78748
40, 556, 0.059844, 78981
40, 557, 0.057579, 79538
40, 558, 0.053388, 79707
40, 559, 0.056786, 80021
40, 560, 0.057216, 80158
40, 561, 0.078395, 80366
40, 562, 0.058729, 80648
40, 563, 0.057019, 81211
40, 564, 0.054485, 81382
40, 565, 0.052320, 81677
40, 566, 0.056008, 81961
40, 567, 0.057433, 82156
40, 568, 0.055608, 82363
40, 569, 0.056360, 82932
40, 570, 0.057459, 83079
40, 571, 0.056376, 83650
40, 572, 0.053937, 83827
40, 573, 0.057157, 84115
40, 574, 0.057648, 84320
40, 575, 0.056479, 84579
40, 576, 0.058578, 84714
40, 577, 0.056802, 85291
40, 578, 0.056172, 85525
40, 579, 0.061520, 85816
40, 580, 0.055981, 85997
40, 581, 0.053135, 86306
40, 582, 0.052252, 86521
40, 583, 0.058131, 86845
40, 584, 0.056637, 87058
40, 585, 0.058098, 87241
40, 586, 0.057966, 87535
40, 587, 0.057257, 88122
40, 588, 0.060339, 88274
40, 589, 0.052339, 88627
40, 590, 0.053658, 88840
40, 591, 0.057106, 89137
40, 592, 0.055705, 89335
40, 593, 0.056933, 89928
40, 594, 0.056136, 90090
40, 595, 0.056174, 90318
40, 596, 0.057835, 90568
40, 597, 0.058082, 90868
40, 598, 0.057205, 91084
40, 599, 0.056814, 91683
40, 600, 0.059100, 91816
40, 601, 0.056395, 92417
40, 602, 0.057270, 92632
40, 603, 0.061374, 92885
40, 604, 0.051718, 93138
40, 605, 0.054921, 93405
40, 606, 0.056678, 93629
40, 607, 0.052494, 94236
40, 608, 0.051665, 94425
40, 609, 0.057351, 94649
40, 610, 0.057563, 94869
40, 611, 0.056284, 95211
40, 612, 0.052010, 95365
40, 613, 0.056120, 95978
40, 614, 0.057110, 96286
40, 615, 0.056755, 96516
40, 616, 0.056838, 96681
40, 617, 0.057234, 97298
40, 618, 0.055427, 97527
40, 619, 0.078654, 98146
40, 620, 0.074908, 98336
40, 621, 0.066894, 98567
40, 622, 0.058149, 98879
40, 623, 0.066388, 99212
40, 624, 0.059429, 99367
40, 625, 0.055165, 99661
40, 626, 0.056903, 99975
40, 627, 0.056092, 100205
40, 628, 0.060053, 100468
40, 629, 0.060045, 100842
40, 630, 0.058334, 100986
40, 631, 0.057103, 101617
40, 632, 0.060565, 101848
40, 633, 0.056683, 102166
40, 634, 0.056223, 102484
40, 635, 0.060463, 102814
40, 636, 0.057786, 103005
40, 637, 0.059329, 103296
40, 638, 0.056462, 103527
40, 639, 0.057149, 103795
40, 640, 0.053907, 103966
40, 641, 0.057449, 104607
40, 642, 0.053980, 104844
40, 643, 0.061805, 105487
40, 644, 0.056558, 105685
40, 645, 0.054362, 105926
40, 646, 0.056623, 106169
40, 647, 0.060172, 106816
40, 648, 0.059151, 106973
40, 649, 0.055723, 107334
40, 650, 0.056433, 107536
40, 651, 0.054477, 107777
40, 652, 0.053479, 108050
40, 653, 0.057483, 108703
40, 654, 0.054536, 108945
40, 655, 0.057784, 109286
40, 656, 0.057372, 109504
40, 657, 0.057255, 109781
40, 658, 0.057700, 110014
40, 659, 0.057242, 110673
40, 660, 0.052689, 110821
40, 661, 0.058065, 111482
40, 662, 0.059866, 111814
40, 663, 0.056241, 112058
40, 664, 0.057699, 112300
40, 665, 0.056842, 112559
40, 666, 0.057122, 112761
40, 667, 0.057688, 113182
40, 668, 0.057413, 113462
40, 669, 0.058005, 113798
40, 670, 0.057121, 114039
40, 671, 0.057237, 114411
40, 672, 0.054413, 114564
40, 673, 0.056898, 115237
40, 674, 0.057470, 115575
40, 675, 0.058006, 115789
40, 676, 0.058604, 116022
40, 677, 0.053054, 116699
40, 678, 0.057207, 116950
